temp_avg,humidity_avg,leaf_wetness_hours,soil_moisture,ph_water,ec_water,irrigation_l_day,plant_age_days,light_hours,disease_future
16.0,100.0,8,60.3,6.55,1.73,2.5,98,8.1,4
19.2,93.5,6,43.5,6.42,1.29,2.6,91,12.9,4
10.9,97.7,10,41.3,6.4,2.27,2.3,70,11.2,4
12.0,94.0,9,56.9,5.85,1.57,2.5,67,9.7,4
10.5,94.8,6,67.9,6.18,1.59,2.7,89,8.4,4
13.3,96.3,10,65.3,6.03,1.69,2.9,84,9.0,4
13.9,98.7,6,60.3,6.07,1.3,2.8,79,13.4,4
12.7,99.8,6,44.2,6.35,1.48,3.2,65,12.1,4
18.3,97.7,7,47.6,6.0,1.21,1.5,55,9.5,4
13.6,94.2,10,66.3,6.09,1.91,2.0,77,8.4,4
12.8,94.2,9,45.5,6.04,1.33,3.4,95,12.1,4
15.4,97.4,12,48.4,6.75,2.29,2.0,57,11.4,4
11.4,92.4,7,43.9,6.74,1.58,1.3,30,10.4,4
18.0,91.1,6,60.3,6.41,2.71,2.3,31,10.2,4
10.7,93.5,12,68.3,6.72,2.59,1.3,61,9.3,4
19.9,92.9,11,48.1,6.59,1.66,1.5,58,12.0,4
17.7,93.0,12,54.3,6.39,2.45,3.5,90,13.8,4
12.0,92.3,6,59.0,5.81,2.49,2.4,30,9.1,4
10.1,90.4,6,70.0,6.57,2.78,1.7,55,11.6,4
18.2,90.2,10,43.1,6.5,2.16,3.5,71,10.5,4
17.1,99.9,10,55.0,6.42,1.33,3.4,50,10.7,4
17.3,94.3,7,51.6,6.56,2.23,2.1,52,9.5,4
17.7,93.8,9,66.0,6.31,2.2,1.7,32,13.0,4
10.7,96.8,7,54.3,6.5,2.22,3.1,37,10.9,4
13.6,92.2,8,43.3,6.74,1.69,2.8,60,11.3,4
11.2,99.5,6,59.0,6.18,2.58,2.7,77,9.8,4
18.6,97.9,12,63.1,6.51,2.74,3.2,75,9.1,4
16.2,90.9,11,40.1,6.28,1.55,2.7,43,8.5,4
13.3,94.2,6,65.8,6.47,1.34,1.7,92,12.3,4
10.6,98.8,6,45.6,6.56,1.51,2.7,50,9.2,4
13.1,99.4,7,56.6,5.85,2.51,1.8,74,12.1,4
13.3,94.7,11,52.5,6.45,2.28,2.9,29,10.3,4
17.3,96.1,11,61.6,6.03,2.22,2.5,79,10.5,4
16.4,91.7,11,51.1,6.47,1.84,1.2,21,10.8,4
18.9,99.9,7,66.1,6.27,2.12,2.3,34,10.2,4
14.7,92.3,6,61.9,6.57,1.69,1.9,22,8.6,4
11.2,99.4,7,59.4,5.92,1.96,1.8,62,9.9,4
17.1,96.5,10,63.9,6.43,2.47,2.5,50,12.0,4
17.6,96.1,10,62.6,6.08,2.77,1.8,89,12.0,4
15.6,95.1,7,41.1,6.65,2.69,2.9,86,9.7,4
17.7,92.3,11,51.8,6.73,2.69,1.2,75,10.8,4
14.9,91.8,6,67.9,6.8,1.84,2.7,82,9.2,4
15.2,92.2,7,43.8,6.6,1.95,3.0,94,9.3,4
14.3,91.9,7,62.1,6.55,2.33,2.7,34,8.1,4
10.3,97.8,7,69.2,6.02,2.68,2.2,29,13.4,4
11.1,93.5,8,41.6,6.14,1.43,3.4,57,9.3,4
10.3,90.6,10,60.5,6.27,1.69,1.7,66,9.4,4
16.4,99.7,12,54.0,6.57,1.42,1.0,76,9.7,4
13.1,98.8,11,57.4,6.71,2.18,2.1,69,8.8,4
15.1,99.3,9,42.6,5.99,1.69,1.1,90,11.8,4
19.1,99.9,12,41.3,6.72,1.72,3.4,34,8.5,4
12.5,91.7,11,60.0,6.5,1.31,1.5,37,8.8,4
14.1,94.0,9,64.7,6.41,1.76,3.0,21,11.9,4
17.6,97.6,8,63.5,6.0,2.58,2.9,62,10.0,4
12.3,97.0,7,56.3,5.86,1.57,1.5,45,12.2,4
10.8,91.5,8,43.0,6.37,2.31,2.6,90,11.3,4
12.9,98.2,8,60.6,6.45,2.21,1.1,57,9.5,4
11.6,92.2,12,47.3,6.01,2.58,2.2,61,11.9,4
19.3,92.2,6,67.3,6.36,1.41,1.0,24,8.7,4
18.1,95.4,12,65.1,6.66,2.76,3.3,30,11.2,4
16.3,95.9,10,61.3,6.64,2.13,3.4,84,10.6,4
18.7,95.8,9,68.5,6.73,2.79,1.6,53,9.6,4
18.0,90.9,7,40.9,6.17,2.66,1.5,20,11.6,4
11.9,98.8,12,62.1,6.12,1.55,2.9,21,13.2,4
18.9,92.7,9,49.9,6.55,1.29,1.6,39,14.0,4
15.4,91.3,11,67.2,6.23,1.61,3.2,80,11.6,4
18.1,98.9,9,48.0,5.89,2.04,2.4,40,10.4,4
19.0,99.6,11,61.7,6.08,1.47,1.9,87,9.4,4
13.2,98.6,12,66.3,6.22,1.47,3.1,31,9.5,4
11.1,98.1,10,41.2,6.09,1.94,2.2,41,10.9,4
12.3,96.6,12,51.9,6.13,1.25,3.3,39,10.2,4
14.3,95.5,11,62.9,6.09,1.4,3.3,20,13.5,4
18.2,90.9,9,53.6,5.84,1.87,1.4,49,10.2,4
18.6,94.1,9,48.0,6.44,1.3,1.0,43,10.2,4
10.1,93.7,11,46.6,6.4,1.83,3.5,33,10.3,4
15.1,92.6,8,43.9,6.45,1.96,3.3,55,13.0,4
14.2,97.2,10,65.7,5.99,1.92,1.1,88,11.9,4
12.2,95.0,6,57.3,6.1,2.59,3.1,94,11.7,4
11.2,90.8,7,42.3,6.42,2.05,2.1,43,10.0,4
13.4,92.2,9,51.5,6.4,1.95,1.6,79,12.9,4
19.4,96.8,7,51.0,6.31,1.86,3.2,74,8.2,4
13.2,90.8,6,45.5,6.15,2.51,1.5,96,13.2,4
15.2,98.5,12,53.1,6.71,2.63,3.4,99,11.1,4
17.0,95.0,7,50.0,6.14,2.57,1.5,43,10.4,4
13.6,94.8,6,50.3,6.26,2.28,2.5,96,11.0,4
19.7,95.9,11,62.2,6.48,1.42,1.6,43,12.0,4
19.6,98.2,8,46.7,6.34,1.64,2.4,73,8.1,4
12.5,93.5,9,59.3,6.15,1.27,2.7,45,13.2,4
15.0,96.8,6,57.1,6.24,2.69,1.5,85,10.7,4
13.0,95.7,7,57.0,6.59,2.26,2.3,99,10.1,4
12.8,92.7,9,59.9,6.08,2.39,2.2,57,8.8,4
10.4,98.8,8,56.5,5.94,1.7,1.2,84,10.6,4
16.1,98.0,11,66.4,6.11,2.55,3.0,94,11.0,4
15.0,96.6,12,60.3,6.65,1.62,1.8,70,10.4,4
10.5,98.5,9,56.4,5.89,1.2,2.4,54,12.1,4
12.8,98.7,12,64.9,6.79,1.8,2.3,62,10.5,4
19.1,97.1,6,58.2,6.34,2.11,2.3,48,13.8,4
12.4,98.4,8,48.7,6.78,1.97,1.3,56,11.6,4
11.4,97.0,7,46.2,6.74,2.58,2.1,77,12.8,4
14.9,96.8,8,44.6,6.25,1.37,2.1,73,8.7,4
19.9,96.2,8,67.0,6.0,2.09,2.8,58,10.4,4
12.4,97.5,10,61.3,5.96,2.02,3.1,61,10.0,4
16.7,91.6,8,68.1,6.04,1.65,2.4,47,11.4,4
17.6,98.8,8,58.1,6.51,2.52,1.2,48,13.2,4
12.4,98.7,9,54.2,6.07,2.4,1.6,62,8.5,4
17.3,90.3,7,41.8,6.14,2.37,1.4,22,8.4,4
13.7,98.3,9,60.1,6.25,2.6,1.3,29,13.1,4
16.3,91.3,9,57.5,6.71,2.36,1.9,78,9.3,4
16.3,93.4,6,69.7,5.99,1.57,1.6,33,12.0,4
15.4,97.4,9,47.2,5.81,2.33,1.5,95,11.3,4
10.9,91.6,10,55.9,5.86,1.69,1.1,66,13.0,4
18.4,98.2,10,59.5,6.7,1.59,1.0,61,8.8,4
13.2,98.3,12,59.3,6.45,1.32,1.3,51,8.8,4
11.9,95.1,6,56.8,6.07,2.39,1.4,51,11.3,4
10.4,90.1,12,63.3,5.98,2.34,2.1,61,13.7,4
15.9,92.9,12,46.1,6.09,1.58,2.3,51,10.5,4
16.8,96.2,11,61.8,5.91,2.4,1.4,45,10.0,4
10.2,99.8,7,58.6,6.74,2.67,2.1,20,11.6,4
15.1,96.3,7,66.9,6.58,1.37,1.9,75,13.6,4
12.3,92.6,9,65.4,6.26,1.57,1.5,21,13.0,4
16.5,96.3,9,49.5,6.66,2.4,1.0,49,14.0,4
11.7,95.4,11,48.3,6.05,1.64,2.2,90,8.1,4
16.9,97.8,9,69.4,6.52,2.2,2.7,71,8.7,4
13.9,91.1,7,55.8,6.66,1.33,1.6,28,11.7,4
19.4,97.6,12,67.2,6.16,1.92,1.3,41,12.9,4
11.4,95.4,8,44.9,6.56,2.38,3.2,53,9.7,4
13.4,99.6,10,59.3,6.1,2.3,1.7,68,9.4,4
11.1,93.4,8,64.3,6.1,2.5,1.6,20,12.7,4
19.2,96.3,8,68.4,5.91,2.6,3.1,92,8.3,4
18.8,99.3,7,50.1,6.24,2.44,3.0,72,10.2,4
12.6,91.0,8,61.7,6.53,2.27,2.1,59,11.0,4
16.6,99.4,11,56.2,6.74,1.25,2.2,64,11.4,4
18.2,96.9,6,41.8,6.4,2.06,1.5,87,12.4,4
15.6,90.7,9,60.7,6.66,1.26,1.2,28,10.1,4
15.3,93.0,6,60.7,6.62,2.49,2.4,41,11.7,4
12.4,97.1,12,67.9,5.97,1.71,1.2,37,11.5,4
10.9,90.7,10,54.9,6.29,2.1,2.1,95,11.3,4
19.0,95.8,9,46.9,5.92,1.65,3.4,62,11.8,4
19.0,93.5,8,41.3,6.48,2.45,3.4,58,9.6,4
16.3,96.2,10,52.5,6.75,2.62,1.6,92,8.5,4
13.4,90.5,9,49.1,5.94,1.84,2.6,25,8.7,4
13.5,98.7,11,62.8,6.53,2.58,2.2,67,9.3,4
17.3,99.7,11,50.6,6.43,1.63,3.2,26,11.0,4
19.0,99.7,11,68.5,6.38,2.06,1.7,99,13.0,4
18.9,97.5,11,68.9,6.19,2.57,1.0,88,12.2,4
17.8,91.3,8,58.6,6.16,1.72,1.4,35,12.7,4
16.4,97.6,6,67.9,5.85,2.73,1.9,20,10.1,4
10.8,90.2,9,62.8,6.02,1.4,1.8,56,10.4,4
11.6,90.2,8,56.4,5.82,1.23,3.0,56,10.4,4
19.0,93.2,11,45.4,6.38,2.65,2.7,83,9.2,4
16.1,94.9,12,53.8,5.91,1.31,1.7,81,8.4,4
10.1,97.7,6,56.8,6.67,2.79,2.1,91,11.5,4
11.0,96.8,12,65.9,6.32,2.72,1.2,80,13.9,4
16.6,94.5,10,54.4,6.5,1.42,3.2,52,9.0,4
10.1,92.7,12,66.9,6.21,2.06,3.3,85,8.3,4
11.6,100.0,10,60.2,6.36,1.5,3.4,49,12.7,4
15.5,94.3,10,44.1,6.74,1.89,3.2,39,9.5,4
16.9,94.5,11,69.8,5.88,1.3,1.4,79,13.0,4
16.5,91.6,10,55.8,6.05,1.56,1.1,93,12.2,4
12.2,97.9,7,51.8,6.58,1.78,2.4,43,13.7,4
17.1,96.9,9,59.8,5.9,1.9,3.3,23,10.5,4
12.4,92.2,9,43.3,5.88,2.76,1.4,56,12.0,4
13.3,90.8,11,59.1,6.16,2.49,1.0,23,10.8,4
17.5,96.8,7,54.9,5.89,2.38,3.0,96,11.8,4
16.5,96.5,12,52.2,6.39,2.06,1.2,96,10.7,4
18.5,92.7,8,68.6,6.03,2.54,2.0,37,9.1,4
16.6,99.5,12,55.7,6.7,1.74,2.7,85,11.0,4
15.7,91.5,8,46.6,6.58,2.33,1.6,67,11.2,4
10.9,94.3,10,53.8,6.5,2.79,1.2,52,12.9,4
13.7,99.4,6,67.6,6.42,1.7,2.9,77,12.4,4
12.7,94.2,8,45.3,6.66,2.28,2.6,92,12.0,4
12.4,96.4,6,46.4,6.02,2.55,3.5,47,8.7,4
19.7,94.0,9,40.4,6.67,2.67,1.9,54,12.3,4
13.9,92.7,6,40.4,6.59,2.35,1.2,29,11.0,4
18.9,99.8,9,64.9,6.55,1.65,2.8,84,13.4,4
16.3,94.1,7,62.0,6.36,1.72,2.3,61,13.5,4
17.9,98.9,7,50.7,6.05,1.23,1.5,28,8.3,4
15.0,92.3,11,60.9,6.22,2.42,3.0,79,12.9,4
15.8,92.1,11,51.9,6.59,1.27,1.5,34,8.2,4
14.9,90.3,10,68.6,5.83,2.58,1.7,76,10.2,4
12.0,96.5,8,69.0,6.58,1.39,1.2,88,11.3,4
17.2,93.7,10,51.8,6.04,1.48,2.0,41,8.9,4
12.8,98.6,9,65.6,5.94,1.96,2.0,83,12.5,4
10.2,94.7,10,63.2,5.92,2.38,2.3,60,8.1,4
16.5,99.7,6,49.3,5.83,1.42,2.8,90,9.0,4
11.8,91.9,9,47.0,6.32,1.9,3.3,75,11.5,4
19.4,98.7,11,53.7,6.02,1.97,1.3,42,12.3,4
19.5,97.8,7,63.4,6.79,1.54,1.1,44,13.5,4
19.1,97.7,11,68.8,6.37,1.38,1.0,25,12.2,4
13.7,98.4,8,62.9,5.94,2.54,1.4,53,12.0,4
10.2,97.6,9,65.7,6.49,2.0,2.6,82,10.4,4
19.3,96.3,9,58.1,6.7,1.22,2.8,28,8.0,4
14.3,91.3,6,65.1,6.55,2.48,3.0,79,8.7,4
19.7,90.3,8,63.5,5.88,2.77,1.6,68,11.2,4
19.6,99.2,7,51.3,6.7,2.17,1.8,70,12.1,4
18.5,96.2,12,56.6,6.59,2.01,2.2,79,10.5,4
12.9,98.0,9,64.1,5.96,2.61,1.2,89,12.4,4
13.9,94.8,9,41.4,5.85,2.72,2.5,56,11.1,4
18.5,91.2,6,64.2,6.36,2.41,3.5,50,8.4,4
13.2,91.3,10,45.3,5.96,1.91,1.9,60,9.2,4
11.7,96.9,7,55.4,6.63,2.15,2.9,81,13.0,4
15.6,94.3,11,64.2,6.16,2.32,2.3,77,12.3,4
19.4,92.0,8,47.6,6.71,1.51,1.3,33,13.4,4
17.0,94.9,9,47.4,6.37,1.92,2.5,55,8.7,4
15.7,90.6,9,52.1,5.98,2.53,1.7,55,13.9,4
11.0,95.8,11,66.8,5.94,2.25,1.1,98,9.3,4
16.2,92.7,7,40.0,6.38,1.86,2.6,27,8.1,4
19.9,98.0,10,67.0,6.56,2.26,3.1,45,14.0,4
11.4,93.1,9,44.6,6.58,1.39,1.9,55,9.7,4
15.2,94.6,7,69.7,6.08,1.84,2.0,67,12.0,4
18.8,90.1,11,68.6,6.0,2.47,3.2,47,9.1,4
17.4,90.7,6,54.8,5.82,1.55,3.0,87,11.5,4
17.0,93.9,10,55.4,6.48,1.5,2.8,81,13.4,4
17.0,94.8,8,54.4,5.88,2.72,1.6,99,9.9,4
13.6,96.0,9,59.1,6.22,1.54,3.3,95,12.0,4
12.9,92.9,7,42.7,6.4,1.62,1.4,99,9.1,4
18.1,96.9,6,41.0,6.74,2.75,2.6,70,11.7,4
18.1,98.6,8,41.7,6.11,2.38,1.1,61,10.0,4
18.7,97.8,12,53.3,6.05,2.32,2.6,48,9.3,4
19.1,90.4,7,48.3,6.45,2.56,1.7,29,9.9,4
15.1,94.8,7,58.7,6.42,1.39,2.1,58,9.1,4
15.0,91.0,8,69.8,6.13,2.33,1.9,20,13.4,4
18.0,92.4,6,51.6,6.73,2.01,1.4,58,10.4,4
16.5,99.9,12,57.2,6.64,2.53,2.6,40,9.5,4
17.0,91.4,11,52.5,6.02,2.01,3.2,84,10.7,4
18.0,95.0,6,65.4,6.04,2.19,3.4,34,9.9,4
18.9,96.2,10,67.1,6.31,1.96,1.5,23,12.5,4
13.4,97.0,9,66.3,6.57,1.97,2.8,79,13.8,4
13.8,95.6,8,69.2,5.84,2.43,2.7,80,10.6,4
10.9,90.1,11,40.8,6.49,2.21,1.9,39,13.2,4
15.8,93.3,12,65.2,6.45,2.21,1.0,29,11.4,4
10.4,95.2,8,62.6,6.03,1.92,2.7,53,8.9,4
14.7,90.9,8,46.9,6.48,2.05,3.4,67,12.1,4
15.4,93.5,6,68.7,6.74,2.39,2.6,52,11.1,4
12.9,90.3,9,44.4,5.85,2.52,2.1,80,11.9,4
15.9,90.8,10,60.4,6.12,2.31,2.3,29,13.3,4
10.3,94.0,7,46.7,6.24,2.68,1.5,73,10.6,4
10.4,91.3,7,52.9,6.7,2.51,2.9,84,13.4,4
18.2,95.7,8,61.6,6.76,2.1,2.9,96,12.5,4
13.6,96.9,9,56.9,6.24,2.27,1.4,20,10.9,4
11.3,98.0,12,52.8,6.55,2.68,3.2,24,11.6,4
15.2,92.0,12,49.8,6.33,2.19,1.7,99,10.0,4
17.7,91.7,11,65.2,6.34,2.52,3.5,34,13.9,4
12.2,91.0,6,44.3,6.08,2.3,2.0,47,12.0,4
16.2,96.4,9,52.9,6.02,2.08,1.4,42,8.3,4
10.9,97.1,9,67.1,6.09,1.59,1.9,36,10.0,4
10.5,90.3,6,65.4,6.36,1.88,2.1,32,11.7,4
15.3,99.4,12,52.0,5.83,2.75,1.2,33,8.3,4
15.4,90.5,12,62.9,6.71,2.25,2.4,30,8.1,4
16.4,95.4,12,64.7,5.96,2.1,2.5,47,10.7,4
17.3,97.1,8,66.7,6.02,2.69,2.8,61,10.0,4
19.8,98.7,9,56.3,6.32,2.14,1.1,80,10.6,4
15.2,97.1,7,46.1,6.51,2.04,2.4,83,9.6,4
13.2,98.0,6,47.7,5.9,2.41,1.1,50,9.0,4
18.0,93.4,12,48.9,6.12,2.34,2.8,92,12.1,4
12.7,98.1,11,57.8,6.77,1.51,1.1,29,11.1,4
14.4,90.8,12,41.0,6.06,1.95,3.3,27,9.2,4
10.8,98.9,12,59.1,6.11,1.96,2.8,40,9.9,4
10.3,95.5,10,50.9,6.64,1.81,2.3,96,11.6,4
19.6,98.2,8,48.9,5.85,2.03,2.1,78,8.4,4
18.4,94.5,6,66.4,6.26,1.86,1.3,69,8.9,4
17.0,96.4,10,53.8,6.18,1.52,1.7,88,8.4,4
14.1,95.3,10,42.9,6.12,1.86,3.2,89,12.9,4
11.7,97.3,11,64.8,6.09,1.32,3.3,49,12.5,4
11.6,90.8,9,41.4,5.89,2.12,1.0,36,12.5,4
12.5,90.6,11,61.8,6.11,2.57,2.5,94,12.3,4
15.5,92.5,9,63.2,5.84,2.36,2.8,39,12.0,4
17.1,91.6,9,50.6,6.58,1.78,2.5,67,10.9,4
16.6,98.7,6,64.7,6.2,1.34,1.2,92,11.9,4
12.8,92.2,12,55.5,6.24,1.52,1.5,21,8.2,4
19.5,99.8,6,53.9,6.69,2.07,1.6,56,11.7,4
17.4,93.4,8,41.4,6.46,1.53,3.1,20,12.7,4
15.5,91.8,9,48.7,5.81,2.07,2.2,23,11.0,4
16.1,97.9,10,67.9,6.74,1.57,2.2,73,10.1,4
14.2,96.6,12,51.8,6.04,2.56,3.3,44,9.7,4
12.5,95.0,7,56.4,5.91,1.84,2.6,22,11.9,4
13.6,95.6,8,56.0,6.57,1.59,3.2,28,12.2,4
17.6,97.2,6,57.7,6.3,2.5,2.1,95,13.2,4
10.1,92.3,11,41.8,6.23,1.75,1.4,93,10.1,4
11.2,100.0,8,50.9,6.05,1.38,3.3,53,12.6,4
10.5,99.7,8,61.7,6.35,2.11,2.1,62,11.4,4
10.4,96.5,12,46.0,6.07,2.13,1.5,93,13.3,4
18.6,92.0,8,46.1,6.7,2.34,1.8,41,11.2,4
17.0,96.8,8,40.3,6.02,1.58,1.1,89,11.1,4
14.7,90.7,7,53.1,6.68,1.91,2.2,21,11.5,4
11.0,90.3,11,66.5,6.36,1.65,3.1,85,12.5,4
14.9,92.6,11,41.6,6.63,1.33,3.3,51,13.8,4
14.7,94.6,11,45.7,6.51,2.6,3.3,35,8.4,4
11.7,98.7,9,49.3,6.5,2.37,1.3,95,8.3,4
14.3,97.3,10,62.0,6.12,1.68,2.0,20,13.6,4
14.0,97.4,11,59.2,6.03,2.16,1.1,91,11.2,4
16.2,94.3,8,52.5,6.01,1.52,3.1,67,11.7,4
16.4,93.5,8,62.8,6.66,2.62,1.9,69,10.9,4
10.5,93.7,11,58.3,6.62,1.38,2.6,32,8.6,4
13.7,99.9,12,66.9,6.24,1.21,2.8,34,12.6,4
16.3,90.4,11,64.5,5.93,2.0,2.1,72,12.5,4
15.0,98.7,8,47.6,6.18,2.13,1.8,63,9.9,4
18.6,95.8,9,48.1,6.42,2.13,3.4,27,9.8,4
16.6,94.4,6,43.8,6.25,1.29,3.4,93,13.0,4
11.6,97.3,6,50.1,6.58,1.7,1.7,65,8.4,4
10.7,94.9,11,70.0,6.8,2.0,2.2,88,13.3,4
16.4,98.7,7,52.2,5.99,1.55,3.4,38,9.5,4
10.3,99.0,11,46.6,6.26,2.6,1.0,57,11.6,4
15.9,94.2,12,62.9,6.23,1.34,2.0,30,13.6,4
19.4,92.8,11,56.3,6.1,1.98,1.3,62,12.1,4
15.8,95.9,6,44.5,6.0,2.31,2.3,39,10.5,4
13.9,99.1,8,51.4,5.87,1.62,1.1,39,12.1,4
16.4,92.1,11,52.4,6.69,2.2,2.0,40,10.1,4
14.6,96.2,8,62.6,6.22,2.53,1.6,76,9.7,4
15.5,96.3,8,40.6,6.3,1.5,2.3,69,14.0,4
19.4,97.3,7,48.1,6.72,2.67,3.5,93,12.5,4
13.9,91.3,8,55.5,6.58,2.09,3.0,45,11.9,4
19.6,97.2,6,48.1,5.93,1.68,3.1,49,10.1,4
19.1,99.1,9,58.9,6.37,1.89,2.6,92,8.3,4
12.0,91.8,9,54.5,6.24,1.7,1.1,50,8.2,4
10.7,92.4,10,50.9,6.6,2.36,1.5,61,11.3,4
11.0,99.7,12,68.5,6.52,2.47,3.3,87,12.6,4
10.2,91.8,11,59.0,6.49,2.53,1.9,80,11.2,4
10.9,98.5,12,43.9,6.14,2.78,1.3,80,13.0,4
16.8,94.9,6,56.8,6.6,2.47,2.8,89,8.2,4
10.7,92.5,8,63.4,5.85,2.16,1.7,97,10.2,4
13.2,98.7,9,61.3,5.96,1.74,1.7,87,9.4,4
18.4,94.5,12,45.2,6.14,2.07,3.5,36,10.7,4
10.2,95.1,6,69.2,5.88,1.27,3.1,38,8.4,4
18.1,93.6,9,53.5,6.03,2.39,2.0,70,13.7,4
12.8,95.9,8,44.8,6.63,1.91,3.5,89,9.3,4
11.2,91.6,12,45.4,6.75,1.23,2.6,82,13.5,4
17.0,93.9,9,42.9,6.1,1.3,2.9,94,10.6,4
16.3,99.7,11,64.1,6.06,1.82,1.1,99,13.9,4
18.8,92.6,11,43.7,6.08,2.13,1.3,49,11.3,4
17.4,96.6,10,43.8,6.08,1.94,2.6,44,13.6,4
18.0,93.3,10,65.5,5.84,2.19,3.2,94,8.0,4
12.8,97.7,9,50.3,6.73,1.97,2.6,90,12.5,4
11.8,91.3,6,40.9,6.01,2.26,1.3,45,13.4,4
17.5,99.7,11,41.6,6.22,1.55,1.3,75,8.8,4
18.1,94.5,6,44.3,5.81,1.38,3.1,41,8.6,4
19.9,92.4,6,46.4,6.66,2.15,1.3,38,10.5,4
14.1,90.7,9,60.0,6.53,1.98,2.3,50,13.6,4
13.7,91.7,6,44.7,6.75,1.24,1.1,45,11.3,4
17.8,95.2,11,43.6,6.58,1.81,1.2,61,11.2,4
13.4,93.4,8,62.9,6.11,1.37,2.7,60,8.8,4
19.3,98.3,10,60.1,6.05,2.05,2.7,42,8.0,4
18.6,94.3,8,53.1,6.5,1.83,1.9,66,12.9,4
14.3,92.5,6,56.5,6.16,2.18,1.5,32,8.5,4
17.5,96.2,8,49.4,6.37,2.49,3.0,85,11.8,4
17.5,97.1,11,54.5,5.81,1.68,1.5,85,13.5,4
11.0,91.7,11,55.2,5.86,2.74,2.4,35,9.3,4
19.0,91.7,6,51.6,6.34,2.06,3.4,92,12.0,4
15.1,90.4,9,67.2,6.37,2.19,1.4,47,8.5,4
18.3,97.4,8,40.5,6.55,2.29,3.4,96,11.6,4
13.2,96.6,9,63.5,5.93,2.27,1.5,54,9.0,4
19.0,94.7,9,43.7,6.31,2.02,2.4,60,12.4,4
13.9,98.4,7,63.9,5.99,1.89,1.9,96,9.8,4
